,tic,Class_end,settledate,year,Month,gap,sic,lgap,settleamt,CIK,filedate,Form,diff
174,ADUS,26/03/2010,2011-03-21,2011,3,360,9999,5.8861041,3000000,1468328.0,2011-06-28,8-K,-99 days +00:00:00.000000000
175,ADUS,26/03/2010,2011-03-21,2011,3,360,9999,5.8861041,3000000,1468328.0,2011-06-23,8-K,-94 days +00:00:00.000000000
176,ADUS,26/03/2010,2011-03-21,2011,3,360,9999,5.8861041,3000000,1468328.0,2011-05-25,8-K,-65 days +00:00:00.000000000
177,ADUS,26/03/2010,2011-03-21,2011,3,360,9999,5.8861041,3000000,1468328.0,2011-05-05,8-K,-45 days +00:00:00.000000000
178,ADUS,26/03/2010,2011-03-21,2011,3,360,9999,5.8861041,3000000,1468328.0,2011-04-13,8-K,-23 days +00:00:00.000000000
179,ADUS,26/03/2010,2011-03-21,2011,3,360,9999,5.8861041,3000000,1468328.0,2011-03-28,10-K,-7 days +00:00:00.000000000
180,ADUS,26/03/2010,2011-03-21,2011,3,360,9999,5.8861041,3000000,1468328.0,2011-03-25,8-K,-4 days +00:00:00.000000000
181,ADUS,26/03/2010,2011-03-21,2011,3,360,9999,5.8861041,3000000,1468328.0,2011-03-03,8-K,18 days 00:00:00.000000000
182,ADUS,26/03/2010,2011-03-21,2011,3,360,9999,5.8861041,3000000,1468328.0,2011-01-05,8-K,75 days 00:00:00.000000000
183,AET,7/6/2001,2005-05-10,2005,5,1433,6324,7.267525200000001,0,1122304.0,2005-12-15,8-K,-219 days +00:00:00.000000000
184,AET,7/6/2001,2005-05-10,2005,5,1433,6324,7.267525200000001,0,1122304.0,2005-12-02,8-K,-206 days +00:00:00.000000000
185,AET,7/6/2001,2005-05-10,2005,5,1433,6324,7.267525200000001,0,1122304.0,2005-10-27,8-K,-170 days +00:00:00.000000000
186,AET,7/6/2001,2005-05-10,2005,5,1433,6324,7.267525200000001,0,1122304.0,2005-10-04,8-K,-147 days +00:00:00.000000000
187,AET,7/6/2001,2005-05-10,2005,5,1433,6324,7.267525200000001,0,1122304.0,2005-09-13,8-K,-126 days +00:00:00.000000000
188,AET,7/6/2001,2005-05-10,2005,5,1433,6324,7.267525200000001,0,1122304.0,2005-07-28,8-K,-79 days +00:00:00.000000000
189,AET,7/6/2001,2005-05-10,2005,5,1433,6324,7.267525200000001,0,1122304.0,2005-06-21,8-K,-42 days +00:00:00.000000000
190,AET,7/6/2001,2005-05-10,2005,5,1433,6324,7.267525200000001,0,1122304.0,2005-06-15,8-K,-36 days +00:00:00.000000000
191,AET,7/6/2001,2005-05-10,2005,5,1433,6324,7.267525200000001,0,1122304.0,2005-04-28,8-K,12 days 00:00:00.000000000
