rdate,cusip,stkname,tic,exchcd,stkcd,stkcdesc,prc,shrout,Top5InstOwn,Top10InstOwn,NumInstBlockOwners,InstBlockOwn,NumInstOwners,MaxInstOwn,InstOwn,InstOwn_HHI,InstOwn_Perc
3/31/2004,69366A10,PSS WORLD MED INC,PSSI,V,0,COM,11.19,67412,10683801,18728553,0,,134,2590019,49918558,0.023206026,0.740499585
3/31/2004,69642930,PALL CORP,PLL,A,0,COM,22.69,125790,36321562,54763360,4,30051202,267,7911389,100598703,0.036275968,0.799735297
3/31/2004,69840W10,PANERA BREAD CO,PNRA,V,0,CMA,38.91,28412,9213628,13194887,2,5754011,160,3773196,27294417,0.039718939,0.960665106
3/31/2004,70655210,PEMSTAR INC,PMTR,V,0,COM,3.65,45135,16916025,22367587,2,11942735,66,8865697,31905473,0.105487136,0.706889842
3/31/2004,71429010,PERRIGO CO,PRGO,V,0,COM,20.05,69873,25110114,31683553,3,20092134,150,8948505,55670919,0.056950114,0.796744365
3/31/2004,71713920,PHARMOS CORP,PARS,F,0,COM,4.04,87914,6323778,7938484,0,,50,1846300,10784990,0.08644318,0.122676593
3/31/2004,72146710,PILGRIMS PRIDE CORP,PPC,A,0,COM,22.43,66556,6450962,8404874,0,,82,1961019,12506114,0.069559081,0.18790363
3/31/2004,73173810,POLYMEDICA CORP,PLMD,V,0,COM,26.8,26262,9837299,13526415,3,7915679,143,3091750,25927969,0.043564224,0.987280824
3/31/2004,73317410,POPULAR INC,BPOP,V,0,COM,43.1,132999,13559711,18313898,0,,147,3716606,28110506,0.05899753,0.211358777
3/31/2004,74111310,PRESSTEK INC,PRST,V,0,COM,10.93,34252,4370307,6707061,0,,72,1076700,9890349,0.056705424,0.288752452
3/31/2004,74150340,PRICELINE COM INC,PCLN,V,0,COM,26.96,37690,7064494,11005247,0,,107,1772583,21916708,0.035661346,0.581499284
3/31/2004,74151110,PRICESMART INC,PSMT,V,0,COM,6.68,7362,639150,852704,0,,19,185075,880854,0.127739724,0.119648737
3/31/2004,74756M10,QUALITY DISTR INC FLA,QLTY,V,0,COM,14.05,18012,13586184,15425668,3,12510418,41,10390981,17514240,0.364755685,0.97236509
3/31/2004,74834T10,QUEST SOFTWARE INC,QSFT,V,0,COM,16.35,93973,18640100,28281251,2,10384161,133,5268013,60518455,0.032347239,0.643998329
3/31/2004,74922710,RAIT INVT TR,RAS,A,0,COM,29.55,23210,5126762,6632133,2,3103874,74,1644299,9279400,0.082396259,0.39980181
3/31/2004,75091710,RAMBUS INC DEL,RMBS,V,0,COM,28.02,102065,14550047,17676928,1,9023157,102,9023157,24930607,0.151075537,0.244262059
3/31/2004,75689M10,RED ROBIN GOURMET BURGERS IN,RRGB,V,0,COM,28.38,15999,4218422,6160042,2,2737881,86,1851481,11400204,0.051643555,0.712557285
3/31/2004,75747910,REDIFF COM INDIA LTD,REDF,F,+,AR,11.6,12450,818064,1069607,0,,14,413500,1131858,0.17740172,0.090912289
3/31/2004,75886F10,REGENERON PHARMACEUTICALS,REGN,V,0,COM,13.58,53197,17416029,21818039,2,9978409,107,6287365,28866190,0.094070143,0.542628156
