BEST_EDGAR_TICKER,AUDITOR_FKEY,AUDITOR_NAME,SIG_DATE_OF_OP_X,GOING_CONCERN,FISCAL_YEAR_OF_OP,FISCAL_YEAR_END_OP,OP_AUD_PCAOB,FTP_FILE_FKEY,FILE_DATE,FILE_SIZE
MTEX,6,Grant Thornton LLP,20070316,0,2006,31DEC2006,1,edgar/data/1056358/0001193125-07-056895.txt,2007-03-16,1 MB
MTEX,6,Grant Thornton LLP,20060316,0,2005,31DEC2005,1,edgar/data/1056358/0001193125-06-056564.txt,2006-03-16,2 MB
MTEX,1,PricewaterhouseCoopers LLP,20050330,0,2004,31DEC2004,1,edgar/data/1056358/0001193125-05-066816.txt,2005-03-31,1 MB
MTEX,1,PricewaterhouseCoopers LLP,20040312,0,2003,31DEC2003,1,edgar/data/1056358/0001193125-04-042259.txt,2004-03-15,1 MB
MTEX,1,PricewaterhouseCoopers LLP,20030313,0,2002,31DEC2002,1,edgar/data/1056358/0000930661-03-001374.txt,2003-03-31,1 MB
MTEX,1,PricewaterhouseCoopers LLP,20020222,0,2001,31DEC2001,1,edgar/data/1056358/0001145443-02-000054.txt,2002-04-01,344 KB
MTEX,1,PricewaterhouseCoopers LLP,20010314,0,2000,31DEC2000,1,edgar/data/1056358/0000930661-01-000914.txt,2001-04-02,346 KB
NEM,1,PricewaterhouseCoopers LLP,20150219,0,2014,31DEC2014,1,edgar/data/1164727/0001564590-15-000777.txt,2015-02-20,83 MB
NEM,1,PricewaterhouseCoopers LLP,20140220,0,2013,31DEC2013,1,edgar/data/1164727/0001193125-14-061205.txt,2014-02-21,42 MB
NEM,1,PricewaterhouseCoopers LLP,20130222,0,2012,31DEC2012,1,edgar/data/1164727/0001193125-13-070256.txt,2013-02-22,43 MB
NEM,1,PricewaterhouseCoopers LLP,20120223,0,2011,31DEC2011,1,edgar/data/1164727/0001193125-12-075918.txt,2012-02-24,35 MB
NEM,1,PricewaterhouseCoopers LLP,20110223,0,2010,31DEC2010,1,edgar/data/1164727/0000950123-11-017350.txt,2011-02-24,45 MB
NEM,1,PricewaterhouseCoopers LLP,20100224,0,2009,31DEC2009,1,edgar/data/1164727/0000950123-10-016613.txt,2010-02-25,10 MB
NEM,1,PricewaterhouseCoopers LLP,20080218,0,2008,31DEC2008,1,edgar/data/1164727/0000950134-09-003236.txt,2009-02-19,6 MB
NEM,1,PricewaterhouseCoopers LLP,20080220,0,2007,31DEC2007,1,edgar/data/1164727/0001193125-08-035169.txt,2008-02-21,3 MB
NEM,1,PricewaterhouseCoopers LLP,20070223,0,2006,31DEC2006,1,edgar/data/1164727/0001193125-07-038537.txt,2007-02-26,3 MB
NEM,1,PricewaterhouseCoopers LLP,20060224,0,2005,31DEC2005,1,edgar/data/1164727/0001193125-06-043441.txt,2006-03-02,4 MB
NEM,1,PricewaterhouseCoopers LLP,20050315,0,2004,31DEC2004,1,edgar/data/1164727/0001193125-05-050868.txt,2005-03-15,6 MB
NEM,1,PricewaterhouseCoopers LLP,20040227,0,2003,31DEC2003,1,edgar/data/1164727/0001193125-04-042223.txt,2004-03-15,5 MB
NEM,1,PricewaterhouseCoopers LLP,20030326,0,2002,31DEC2002,1,edgar/data/1164727/0001045969-03-000796.txt,2003-03-27,6 MB
NEM,5,Arthur Andersen LLP,20020205,0,2001,31DEC2001,0,edgar/data/1164727/0000899243-02-000771.txt,2002-03-27,667 KB
NLST,2349,KMJ Corbin & Company LLP,20150427,0,2014,27DEC2014,1,edgar/data/1282631/0001558370-15-000396.txt,2015-03-27,14 MB
NLST,2349,KMJ Corbin & Company LLP,20140318,0,2013,28DEC2013,1,edgar/data/1282631/0001047469-14-002568.txt,2014-03-18,14 MB
NLST,2349,KMJ Corbin & Company LLP,20130329,0,2012,29DEC2012,1,edgar/data/1282631/0001047469-13-003640.txt,2013-03-29,13 MB
NLST,2349,KMJ Corbin & Company LLP,20120228,0,2011,31DEC2011,1,edgar/data/1282631/0001047469-12-001788.txt,2012-02-28,4 MB
NLST,2349,KMJ Corbin & Company LLP,20110303,0,2010,01JAN2011,1,edgar/data/1282631/0001047469-11-001705.txt,2011-03-03,1 MB
NLST,2349,KMJ Corbin & Company LLP,20100219,0,2009,02JAN2010,1,edgar/data/1282631/0001047469-10-001016.txt,2010-02-19,1 MB
