Model,ticker,evtdate,DATE,evttime,ret,abret
Fama-French Plus Momentum,KO,03JUL2008,25JUN2008,-6,0.0136780879,0.006446591
Fama-French Plus Momentum,KO,03JUL2008,26JUN2008,-5,-0.016266124,0.0008440875
Fama-French Plus Momentum,KO,03JUL2008,27JUN2008,-4,-0.025930122,-0.021405038
Fama-French Plus Momentum,KO,03JUL2008,30JUN2008,-3,0.0027006054,0.0077788128
Fama-French Plus Momentum,KO,03JUL2008,01JUL2008,-2,-0.018853396,-0.019909672
Fama-French Plus Momentum,KO,03JUL2008,02JUL2008,-1,0.0072548809,-0.003060711
Fama-French Plus Momentum,KO,03JUL2008,03JUL2008,0,0.0021413395,-0.005543646
Fama-French Plus Momentum,KO,03JUL2008,07JUL2008,1,-0.003690727,-0.004300898
Fama-French Plus Momentum,KO,03JUL2008,08JUL2008,2,0.0035094619,0.0049924036
Fama-French Plus Momentum,KO,03JUL2008,09JUL2008,3,-0.011268736,-0.004970203
Fama-French Plus Momentum,KO,03JUL2008,10JUL2008,4,-0.016702663,-0.002841201
Fama-French Plus Momentum,KO,03JUL2008,11JUL2008,5,0.0045963139,0.0216203683
Fama-French Plus Momentum,KO,03JUL2008,14JUL2008,6,0.0137258526,0.0147599814
Fama-French Plus Momentum,KO,03JUL2008,15JUL2008,7,0.0162873212,0.0192545128
Fama-French Plus Momentum,KO,03JUL2008,16JUL2008,8,0.0106197959,-0.003832727
Fama-French Plus Momentum,CDNS,15JUN2011,06JUN2011,-7,0.0142179728,0.0322175337
Fama-French Plus Momentum,CDNS,15JUN2011,07JUN2011,-6,-0.024299087,-0.030186913
Fama-French Plus Momentum,CDNS,15JUN2011,08JUN2011,-5,-0.021072732,-0.016393168
Fama-French Plus Momentum,CDNS,15JUN2011,09JUN2011,-4,0.0048923865,-0.014223661
Fama-French Plus Momentum,CDNS,15JUN2011,10JUN2011,-3,-0.02044791,0.0156268222
Fama-French Plus Momentum,CDNS,15JUN2011,13JUN2011,-2,0.0019880221,0.0124950359
Fama-French Plus Momentum,CDNS,15JUN2011,14JUN2011,-1,0.0297619235,0.0033462062
Fama-French Plus Momentum,CDNS,15JUN2011,15JUN2011,0,-0.02793834,0.0016214197
Fama-French Plus Momentum,CDNS,15JUN2011,16JUN2011,1,0.0069375318,0.0256376074
Fama-French Plus Momentum,CDNS,15JUN2011,17JUN2011,2,-0.012795287,-0.00388522
Fama-French Plus Momentum,CDNS,15JUN2011,20JUN2011,3,-0.002991,-0.015290631
