Model,ticker,evtdate,cret,car,bhar,nrets
Fama-French Plus Momentum,BXS,01JUN2012,-0.007552827,-0.041031407,-0.041591606,15
Fama-French Plus Momentum,GNSS,14JUN2006,-0.09013208,0.155989062,0.1291249058,15
Fama-French Plus Momentum,MUSE,24JUN2005,-0.02023607,-0.032918438,-0.034510181,15
Fama-French Plus Momentum,PMACA,14AUG2007,0.0374610403,0.1329402024,0.1106113674,15
Fama-French Plus Momentum,CAO,16APR2008,0.0059726688,-0.036060763,-0.036269055,15
Fama-French Plus Momentum,ADPI,15DEC2009,0.0683482619,0.0607739633,0.0608296003,15
Fama-French Plus Momentum,BRCM,27JUN2005,0.0284907842,0.0215700092,0.0211400087,15
Fama-French Plus Momentum,BRCM,30APR2010,-0.062043773,0.0550276322,0.0524906413,15
Fama-French Plus Momentum,LVLT,05MAY2006,-0.078947378,0.2000957805,0.1787562925,15
Fama-French Plus Momentum,AXTI,24MAY2007,0.0186566688,0.2059661289,0.1897110387,15
